,SalePrice,MSZoning,LotArea,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFullBath,BsmtHalfBath,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
11,345000,RL,11924,AllPub,NridgHt,1Fam,2Story,9,2005,2006,CompShg,WdShing,Ex,PConc,Ex,GLQ,998,1,0,GasA,Ex,Y,SBrkr,1182,1142,0,Ex,Typ,2,BuiltIn,Fin,3,TA,Y,147,21,0,0,0,0,0,7,2006,New,Partial
13,279500,RL,10652,AllPub,CollgCr,1Fam,1Story,7,2006,2007,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1494,0,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,160,33,0,0,0,0,0,8,2007,New,Partial
15,132000,RM,6120,AllPub,BrkSide,1Fam,1.5Unf,7,1929,2001,CompShg,Wd Sdng,TA,BrkTil,TA,Unf,0,0,0,GasA,Ex,Y,FuseA,854,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal
18,159000,RL,13695,AllPub,SawyerW,1Fam,1Story,5,2004,2004,CompShg,VinylSd,TA,PConc,TA,GLQ,646,1,0,GasA,Ex,Y,SBrkr,1114,0,0,Gd,Typ,0,Detchd,Unf,2,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal
19,139000,RL,7560,AllPub,NAmes,1Fam,1Story,5,1958,1965,CompShg,BrkFace,TA,CBlock,TA,LwQ,504,0,0,GasA,TA,Y,SBrkr,1339,0,0,TA,Min1,0,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml
20,325300,RL,14215,AllPub,NridgHt,1Fam,2Story,8,2005,2006,CompShg,VinylSd,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1158,1218,0,Gd,Typ,1,BuiltIn,RFn,3,TA,Y,240,154,0,0,0,0,0,11,2006,New,Partial
21,139400,RM,7449,AllPub,IDOTRR,1Fam,1.5Unf,7,1930,1950,CompShg,Wd Sdng,TA,PConc,TA,Unf,0,0,0,GasA,Ex,Y,FuseF,1108,0,0,Gd,Typ,1,Attchd,Unf,1,TA,N,0,0,205,0,0,0,0,6,2007,WD,Normal
22,230000,RL,9742,AllPub,CollgCr,1Fam,1Story,8,2002,2002,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1795,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal
23,129900,RM,4224,AllPub,MeadowV,TwnhsE,1Story,5,1976,1976,CompShg,CemntBd,TA,PConc,Gd,GLQ,840,1,0,GasA,TA,Y,SBrkr,1060,0,0,TA,Typ,1,Attchd,Unf,2,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal
25,256300,RL,14230,AllPub,NridgHt,1Fam,1Story,8,2007,2007,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1600,0,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal
26,134800,RL,7200,AllPub,NAmes,1Fam,1Story,5,1951,2000,CompShg,Wd Sdng,TA,CBlock,TA,BLQ,234,0,1,GasA,TA,Y,SBrkr,900,0,0,Gd,Typ,0,Detchd,Unf,2,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal
27,306000,RL,11478,AllPub,NridgHt,1Fam,1Story,8,2007,2008,CompShg,VinylSd,Gd,PConc,Ex,GLQ,1218,1,0,GasA,Ex,Y,SBrkr,1704,0,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal
28,207500,RL,16321,AllPub,NAmes,1Fam,1Story,5,1957,1997,CompShg,MetalSd,TA,CBlock,TA,BLQ,1277,1,0,GasA,TA,Y,SBrkr,1600,0,0,TA,Typ,2,Attchd,RFn,1,TA,Y,288,258,0,0,0,0,0,12,2006,WD,Normal
29,68500,RM,6324,AllPub,BrkSide,1Fam,1Story,4,1927,1950,CompShg,MetalSd,TA,BrkTil,TA,Unf,0,0,0,GasA,Fa,N,SBrkr,520,0,0,Fa,Typ,0,Detchd,Unf,1,Fa,Y,49,0,87,0,0,0,0,5,2008,WD,Normal
30,40000,C (all),8500,AllPub,IDOTRR,1Fam,2Story,4,1920,1950,CompShg,BrkFace,TA,BrkTil,TA,Unf,0,0,0,GasA,TA,N,SBrkr,649,668,0,TA,Typ,0,Detchd,Unf,1,TA,N,0,54,172,0,0,0,0,7,2008,WD,Normal
32,179900,RL,11049,AllPub,CollgCr,1Fam,1Story,8,2007,2007,CompShg,VinylSd,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1234,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,30,0,0,0,0,0,1,2008,WD,Normal
33,165500,RL,10552,AllPub,NAmes,1Fam,1Story,5,1959,1959,CompShg,BrkFace,TA,CBlock,TA,Rec,1018,0,1,GasA,Gd,Y,SBrkr,1700,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,0,38,0,0,0,0,0,4,2010,WD,Normal
34,277500,RL,7313,AllPub,NridgHt,TwnhsE,1Story,9,2005,2005,CompShg,MetalSd,Ex,PConc,Ex,GLQ,1153,1,0,GasA,Ex,Y,SBrkr,1561,0,0,Ex,Typ,1,Attchd,Fin,2,TA,Y,203,47,0,0,0,0,0,8,2007,WD,Normal
35,309000,RL,13418,AllPub,NridgHt,1Fam,2Story,8,2004,2005,CompShg,VinylSd,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1132,1320,0,Gd,Typ,1,BuiltIn,Fin,3,TA,Y,113,32,0,0,0,0,0,9,2006,WD,Normal
36,145000,RL,10859,AllPub,CollgCr,1Fam,1Story,5,1994,1995,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1097,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,392,64,0,0,0,0,0,6,2009,WD,Normal
37,153000,RL,8532,AllPub,NAmes,1Fam,1Story,5,1954,1990,CompShg,Wd Sdng,TA,CBlock,TA,Rec,1213,0,1,GasA,Gd,Y,SBrkr,1297,0,0,TA,Typ,1,Attchd,Fin,2,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal
38,109000,RL,7922,AllPub,NAmes,1Fam,1Story,5,1953,2007,CompShg,VinylSd,TA,CBlock,TA,GLQ,731,1,0,GasA,TA,Y,SBrkr,1057,0,0,Gd,Typ,0,Detchd,Unf,1,TA,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml
40,160000,RL,8658,AllPub,NAmes,1Fam,1Story,6,1965,1965,CompShg,Wd Sdng,TA,CBlock,TA,Rec,643,0,0,GasA,Ex,Y,SBrkr,1324,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml
41,170000,RL,16905,AllPub,Timber,1Fam,1Story,5,1959,1959,CompShg,VinylSd,TA,CBlock,TA,BLQ,967,0,1,GasA,Gd,Y,SBrkr,1328,0,0,TA,Typ,2,Attchd,RFn,1,TA,P,0,104,0,0,0,0,0,7,2007,WD,Normal
44,141000,RL,7945,AllPub,NAmes,1Fam,1Story,5,1959,1959,CompShg,BrkFace,TA,CBlock,TA,ALQ,179,1,0,GasA,Ex,Y,FuseA,1150,0,0,TA,Typ,0,Attchd,RFn,1,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal
45,319900,RL,7658,AllPub,NridgHt,TwnhsE,1Story,9,2005,2005,CompShg,MetalSd,Ex,PConc,Ex,GLQ,456,1,0,GasA,Ex,Y,SBrkr,1752,0,0,Ex,Typ,1,Attchd,RFn,2,TA,Y,196,82,0,0,0,0,0,2,2010,WD,Normal
46,239686,RL,12822,AllPub,Mitchel,1Fam,1.5Fin,7,2003,2003,CompShg,VinylSd,Gd,PConc,Ex,GLQ,1351,1,0,GasA,Ex,Y,SBrkr,1518,631,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml
47,249700,FV,11096,AllPub,Somerst,1Fam,1Story,8,2006,2006,CompShg,VinylSd,Gd,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,1656,0,0,Gd,Typ,0,Attchd,RFn,3,TA,Y,0,146,0,0,0,0,0,7,2007,WD,Normal
49,127000,RL,7742,AllPub,Sawyer,1Fam,1Story,5,1966,1966,CompShg,HdBoard,TA,CBlock,TA,BLQ,763,1,0,GasA,Ex,Y,SBrkr,955,0,0,TA,Typ,0,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,1,2007,WD,Normal
51,114500,RM,6240,AllPub,BrkSide,1Fam,1.5Fin,6,1934,1950,CompShg,Wd Sdng,TA,PConc,TA,Unf,0,0,0,GasA,TA,Y,SBrkr,816,0,360,TA,Typ,1,Detchd,Unf,2,TA,Y,112,0,0,0,0,0,400,9,2006,WD,Normal
52,110000,RM,8472,AllPub,IDOTRR,Duplex,1Story,5,1963,1963,CompShg,Wd Sdng,Fa,CBlock,Gd,LwQ,104,1,0,GasA,TA,N,SBrkr,816,0,0,TA,Typ,0,CarPort,Unf,2,TA,Y,106,0,0,0,0,0,0,5,2010,WD,Normal
53,385000,RL,50271,AllPub,Veenker,1Fam,1Story,9,1981,1987,WdShngl,WdShing,Gd,CBlock,Ex,GLQ,1810,2,0,GasA,Gd,Y,SBrkr,1842,0,0,Gd,Typ,1,Attchd,Fin,3,TA,Y,857,72,0,0,0,0,0,11,2006,WD,Normal
54,130000,RL,7134,AllPub,NAmes,1Fam,SLvl,5,1955,1955,CompShg,MetalSd,TA,CBlock,TA,ALQ,384,0,0,GasA,TA,Y,SBrkr,1360,0,0,TA,Min1,1,Detchd,Unf,2,TA,Y,0,50,0,0,0,0,0,2,2007,WD,Normal
55,180500,RL,10175,AllPub,NAmes,1Fam,1Story,6,1964,1964,CompShg,HdBoard,TA,CBlock,TA,BLQ,490,0,0,GasA,Gd,Y,SBrkr,1425,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,0,0,0,407,0,0,0,7,2008,WD,Normal
56,172500,FV,2645,AllPub,Somerst,Twnhs,2Story,8,1999,2000,CompShg,MetalSd,Gd,PConc,Gd,GLQ,649,1,0,GasA,Ex,Y,SBrkr,983,756,0,Gd,Typ,0,Attchd,Fin,2,TA,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml
57,196500,RL,11645,AllPub,CollgCr,1Fam,2Story,7,2004,2004,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,860,860,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,70,0,0,0,0,0,8,2006,WD,Normal
58,438780,RL,13682,AllPub,StoneBr,1Fam,2Story,10,2006,2006,CompShg,VinylSd,Ex,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1426,1519,0,Gd,Typ,1,BuiltIn,Fin,3,TA,Y,192,0,37,0,0,0,0,10,2006,New,Partial
59,124900,RL,7200,AllPub,CollgCr,1Fam,1Story,5,1972,1972,CompShg,HdBoard,TA,CBlock,TA,ALQ,632,0,0,GasA,Ex,Y,SBrkr,780,0,0,TA,Typ,0,Detchd,Unf,1,TA,Y,196,0,0,0,0,0,0,1,2008,WD,Normal
60,158000,RL,13072,AllPub,SawyerW,1Fam,1Story,6,2004,2004,CompShg,VinylSd,TA,PConc,Gd,ALQ,941,1,0,GasA,Ex,Y,SBrkr,1158,0,0,Gd,Typ,0,Detchd,Unf,2,TA,Y,0,50,0,0,0,0,0,5,2006,New,Partial
61,101000,RM,7200,AllPub,IDOTRR,1Fam,2.5Unf,5,1920,1996,CompShg,MetalSd,TA,BrkTil,TA,Unf,0,0,0,GasA,TA,N,SBrkr,581,530,0,Fa,Typ,0,Detchd,Unf,1,TA,N,0,0,144,0,0,0,0,3,2007,WD,Normal
62,202500,RL,6442,AllPub,NridgHt,TwnhsE,1Story,8,2006,2006,CompShg,VinylSd,Gd,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,1370,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,120,49,0,0,0,0,0,10,2007,WD,Normal
63,140000,RM,10300,AllPub,OldTown,1Fam,2Story,7,1921,1950,CompShg,Stucco,TA,BrkTil,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,902,808,0,TA,Typ,0,Detchd,Unf,2,TA,Y,12,11,64,0,0,0,0,4,2010,WD,Normal
65,317000,RL,9591,AllPub,NridgHt,1Fam,2Story,8,2004,2005,CompShg,VinylSd,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1143,1330,0,Gd,Typ,1,BuiltIn,RFn,3,TA,Y,192,151,0,0,0,0,0,10,2007,WD,Normal
67,226000,RL,10665,AllPub,CollgCr,1Fam,1Story,7,2003,2003,CompShg,VinylSd,Gd,PConc,Gd,GLQ,1013,1,0,GasA,Ex,Y,SBrkr,1479,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,144,29,0,0,0,0,0,6,2007,WD,Normal
68,80000,RM,4608,AllPub,OldTown,1Fam,1Story,4,1945,1950,CompShg,MetalSd,TA,CBlock,TA,Unf,0,0,0,GasA,TA,Y,SBrkr,747,0,0,TA,Typ,0,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,6,2010,WD,Normal
69,225000,RL,15593,AllPub,ClearCr,1Fam,1.5Fin,7,1953,1953,CompShg,BrkFace,Gd,CBlock,TA,BLQ,603,0,0,GasW,TA,Y,SBrkr,1304,983,0,TA,Typ,1,Attchd,Fin,2,TA,Y,0,21,114,0,0,0,0,7,2006,WD,Normal
70,244000,RL,13651,AllPub,NAmes,1Fam,1Story,7,1973,1973,CompShg,Plywood,TA,CBlock,Gd,ALQ,1880,1,0,GasA,Ex,Y,SBrkr,2223,0,0,TA,Typ,2,Attchd,Fin,2,TA,Y,300,0,0,0,0,0,0,2,2007,WD,Normal
71,129500,RL,7599,AllPub,Mitchel,1Fam,1Story,4,1982,2006,CompShg,HdBoard,TA,CBlock,TA,ALQ,565,1,0,GasA,TA,Y,SBrkr,845,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,6,2007,WD,Normal
72,185000,RL,10141,AllPub,Gilbert,1Fam,2Story,7,1998,1998,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,885,833,0,TA,Typ,1,Attchd,Fin,2,TA,Y,0,94,0,0,291,0,0,12,2009,WD,Normal
73,144900,RL,10200,AllPub,NAmes,1Fam,1Story,5,1954,2003,CompShg,Wd Sdng,TA,CBlock,TA,ALQ,320,1,0,GasA,Gd,Y,SBrkr,1086,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,5,2010,WD,Normal
74,107400,RM,5790,AllPub,OldTown,1Fam,2Story,3,1915,1950,CompShg,VinylSd,Gd,CBlock,Fa,Unf,0,0,0,GasA,Gd,N,SBrkr,840,765,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,202,0,0,0,0,5,2010,WD,Normal
75,91000,RM,1596,AllPub,MeadowV,Twnhs,SLvl,4,1973,1973,CompShg,CemntBd,TA,CBlock,Gd,GLQ,462,1,0,GasA,TA,Y,SBrkr,526,462,0,TA,Typ,0,BuiltIn,Unf,1,TA,Y,120,101,0,0,0,0,0,11,2009,WD,Normal
77,127000,RM,8635,AllPub,BrkSide,1Fam,1.5Fin,5,1948,2001,CompShg,Wd Sdng,TA,CBlock,TA,BLQ,336,1,0,GasA,TA,Y,SBrkr,1072,213,0,TA,Min1,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,1,2008,WD,Normal
79,110000,RM,10440,AllPub,OldTown,1Fam,2Story,5,1910,1981,CompShg,Wd Sdng,TA,PConc,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,682,548,0,TA,Typ,0,Detchd,Unf,2,TA,Y,74,0,128,0,0,0,0,5,2009,WD,Normal
80,193500,RL,13000,AllPub,NAmes,1Fam,2Story,6,1968,1968,CompShg,VinylSd,TA,CBlock,Gd,Rec,448,0,0,GasA,TA,Y,SBrkr,1182,960,0,Gd,Typ,1,Attchd,Fin,1,TA,Y,0,72,0,0,252,0,0,6,2009,WD,Normal
81,153500,RM,4500,AllPub,Mitchel,TwnhsE,1Story,6,1998,1998,CompShg,VinylSd,TA,PConc,Ex,GLQ,1201,1,0,GasA,Ex,Y,SBrkr,1337,0,0,TA,Typ,0,Attchd,Fin,2,TA,Y,0,199,0,0,0,0,0,3,2006,WD,Normal
82,245000,RL,10206,AllPub,Somerst,1Fam,1Story,8,2007,2007,CompShg,VinylSd,TA,PConc,Gd,GLQ,33,0,0,GasA,Ex,Y,SBrkr,1563,0,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,144,99,0,0,0,0,0,10,2008,WD,Normal
83,126500,RL,8892,AllPub,NAmes,1Fam,1Story,5,1960,1960,CompShg,MetalSd,TA,CBlock,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,1065,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,74,0,0,0,0,0,0,7,2007,COD,Normal
85,260000,RL,16059,AllPub,NoRidge,1Fam,2Story,8,1991,1992,CompShg,HdBoard,Gd,CBlock,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1301,1116,0,Gd,Typ,1,Attchd,Unf,2,TA,Y,127,82,0,0,0,0,0,4,2006,WD,Normal
86,174000,RL,11911,AllPub,Gilbert,1Fam,2Story,6,2005,2005,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,684,876,0,Gd,Typ,1,BuiltIn,Fin,2,TA,Y,100,38,0,0,0,0,0,3,2009,WD,Normal
87,164500,FV,3951,AllPub,Somerst,TwnhsE,2Story,6,2009,2009,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,612,612,0,Gd,Typ,0,Detchd,RFn,2,TA,Y,0,234,0,0,0,0,0,6,2009,New,Partial
91,98600,RL,8500,AllPub,NAmes,1Fam,1Story,5,1961,1961,CompShg,HdBoard,TA,CBlock,TA,Rec,600,0,0,GasA,TA,Y,SBrkr,1235,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,12,2006,WD,Abnorml
92,163500,RL,13360,AllPub,Crawfor,1Fam,1Story,5,1921,2006,CompShg,Wd Sdng,TA,BrkTil,Gd,ALQ,713,1,0,GasA,Ex,Y,SBrkr,964,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,44,0,0,0,0,8,2009,WD,Normal
93,133900,C (all),7200,AllPub,OldTown,2fmCon,2.5Unf,6,1910,1998,CompShg,MetalSd,TA,BrkTil,TA,Rec,1046,0,1,GasW,Ex,N,SBrkr,1260,1031,0,TA,Typ,1,Detchd,Unf,2,TA,Y,0,0,0,0,99,0,0,11,2007,WD,Normal
94,204750,RL,9337,AllPub,CollgCr,1Fam,2Story,6,1997,1997,CompShg,VinylSd,TA,PConc,Gd,GLQ,648,1,0,GasA,Ex,Y,SBrkr,905,881,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,162,0,0,0,0,0,5,2007,WD,Normal
96,214000,RL,10264,AllPub,CollgCr,1Fam,1Story,7,1999,1999,CompShg,VinylSd,Gd,PConc,Gd,ALQ,1162,0,0,GasA,Ex,Y,SBrkr,1588,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,158,29,0,0,0,0,0,8,2006,WD,Normal
97,94750,RL,10921,AllPub,Edwards,1Fam,1Story,4,1965,1965,CompShg,HdBoard,TA,CBlock,TA,Rec,520,1,0,GasA,TA,Y,FuseF,960,0,0,TA,Typ,0,Attchd,Fin,1,TA,P,120,0,0,0,0,0,0,5,2007,WD,Normal
98,83000,RL,10625,AllPub,Edwards,1Fam,1Story,5,1920,1950,CompShg,Wd Sdng,TA,BrkTil,TA,ALQ,108,0,0,GasA,Fa,N,SBrkr,835,0,0,TA,Typ,0,Basment,Unf,1,Fa,Y,0,0,77,0,0,0,400,5,2010,COD,Abnorml
101,178000,RL,9206,AllPub,SawyerW,1Fam,2Story,6,1985,1985,CompShg,HdBoard,Gd,CBlock,Gd,Unf,0,0,0,GasA,TA,Y,SBrkr,977,755,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,192,46,0,0,0,0,0,6,2010,WD,Normal
103,198900,RL,10402,AllPub,CollgCr,1Fam,1Story,7,2009,2009,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1226,0,0,Gd,Typ,0,Attchd,RFn,3,TA,Y,0,36,0,0,0,0,0,5,2010,WD,Normal
105,250000,FV,9375,AllPub,Somerst,1Fam,2Story,8,2003,2004,CompShg,VinylSd,Gd,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1053,939,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,140,45,0,0,0,0,0,8,2008,WD,Normal
106,100000,RM,10800,AllPub,OldTown,1Fam,1Story,4,1885,1995,CompShg,VinylSd,TA,BrkTil,Fa,Unf,0,0,0,GasA,Gd,Y,SBrkr,1047,0,0,TA,Typ,0,Detchd,Unf,1,Fa,N,0,0,0,0,0,0,450,8,2007,WD,Normal
107,115000,RM,6000,AllPub,OldTown,1Fam,1Story,5,1948,1950,CompShg,VinylSd,TA,CBlock,TA,ALQ,104,0,0,GasA,Ex,Y,SBrkr,789,0,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,4,2008,WD,Partial
109,190000,RL,11751,AllPub,NWAmes,1Fam,1Story,6,1977,1977,CompShg,Plywood,TA,CBlock,Gd,BLQ,705,0,0,GasA,Ex,Y,SBrkr,1844,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,0,122,0,0,0,0,0,1,2010,COD,Normal
110,136900,RL,9525,AllPub,Edwards,1Fam,1.5Fin,6,1954,1972,CompShg,Wd Sdng,TA,CBlock,TA,Rec,444,0,0,GasA,Gd,Y,SBrkr,1216,639,0,TA,Typ,0,Attchd,Unf,1,TA,Y,182,0,0,0,0,0,0,10,2006,WD,Normal
112,383970,RL,9965,AllPub,CollgCr,1Fam,2Story,7,2007,2007,CompShg,VinylSd,Gd,PConc,Ex,GLQ,984,1,0,GasA,Ex,Y,SBrkr,1282,1414,0,Ex,Typ,1,BuiltIn,Fin,3,TA,Y,120,184,0,0,168,0,0,10,2007,New,Partial
114,259500,RL,7259,AllPub,Crawfor,1Fam,2Story,6,1945,2002,CompShg,Wd Sdng,TA,CBlock,TA,ALQ,774,1,0,GasA,Ex,Y,SBrkr,1436,884,0,Gd,Typ,1,Detchd,Unf,1,TA,Y,224,0,0,0,0,0,0,7,2007,WD,Normal
115,176000,FV,3230,AllPub,Somerst,TwnhsE,2Story,6,1999,1999,CompShg,MetalSd,TA,PConc,Gd,GLQ,419,0,0,GasA,Gd,Y,SBrkr,729,729,0,TA,Typ,1,Detchd,Unf,2,TA,Y,0,32,0,0,0,0,0,6,2007,WD,Normal
117,155000,RL,8536,AllPub,Edwards,1Fam,1Story,5,2006,2007,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,1125,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,80,64,0,0,0,0,0,4,2007,New,Partial
