Neighborhood,SalePrice,LotArea,BedroomAbvGr,FullBath,OverallQual,YearBuilt
OldTown,110000,10440,2,1,5,1910
NAmes,193500,13000,4,2,6,1968
Mitchel,153500,4500,2,2,6,1998
Somerst,245000,10206,3,2,8,2007
NAmes,126500,8892,3,1,5,1960
NoRidge,260000,16059,4,2,8,1991
Gilbert,174000,11911,3,2,6,2005
Somerst,164500,3951,2,2,6,2009
NAmes,98600,8500,2,1,5,1961
Crawfor,163500,13360,2,1,5,1921
OldTown,133900,7200,4,2,6,1910
CollgCr,204750,9337,3,2,6,1997
CollgCr,214000,10264,3,2,7,1999
Edwards,94750,10921,3,1,4,1965
Edwards,83000,10625,2,1,5,1920
SawyerW,178000,9206,3,2,6,1985
CollgCr,198900,10402,3,2,7,2009
Somerst,250000,9375,3,2,8,2003
OldTown,100000,10800,2,1,4,1885
OldTown,115000,6000,2,1,5,1948
NWAmes,190000,11751,3,2,6,1977
Edwards,136900,9525,4,2,6,1954
CollgCr,383970,9965,4,2,7,2007
Crawfor,259500,7259,3,2,6,1945
Somerst,176000,3230,2,2,6,1999
Edwards,155000,8536,2,1,5,2006
SawyerW,320000,12376,5,3,7,1990
CollgCr,163990,8461,3,2,6,2005
IDOTRR,100000,6060,3,1,4,1939
NAmes,136000,9464,3,1,6,1958
SawyerW,153900,7892,2,2,6,1993
NWAmes,181000,17043,3,2,6,1979
NAmes,155000,7590,3,1,6,1966
NAmes,150000,8973,3,1,5,1958
NAmes,226000,14200,4,2,7,1966
NAmes,150750,7388,3,1,5,1959
Sawyer,180000,10335,3,2,5,1968
NWAmes,174000,10400,3,2,7,1970
Mitchel,171000,11070,5,3,7,1988
CollgCr,230000,9066,3,2,8,1999
CollgCr,231500,15426,3,2,6,1997
CollgCr,260000,11645,3,2,7,2005
NAmes,166000,8520,4,2,5,1952
CollgCr,204000,10335,3,2,7,1999
Sawyer,125000,9100,6,2,5,1963
Edwards,130000,2522,3,2,6,2004
BrkSide,105000,6120,2,1,5,1931
CollgCr,122000,10356,3,1,5,1975
NridgHt,372402,13891,2,2,8,2007
OldTown,125000,11340,4,1,6,1923
Timber,269500,12003,4,2,8,2009
Somerst,254900,12552,3,2,7,2004
Gilbert,320000,19378,4,2,7,2005
NridgHt,412500,13688,3,2,9,2003
NridgHt,220000,12182,3,2,7,2005
OldTown,152000,5400,3,2,6,1926
NridgHt,325624,10562,3,1,8,2007
Gilbert,183500,8244,3,2,7,2004
NAmes,215000,31770,3,1,6,1960
StoneBr,239000,5306,2,2,7,1987
NAmes,163000,10197,3,1,6,1961
Timber,184000,12416,3,2,6,1986
Edwards,243000,12615,4,2,6,1950
ClearCr,211000,10029,4,2,6,1988
StoneBr,501837,17423,1,2,9,2008
OldTown,100000,8520,2,1,5,1923
Crawfor,200100,7588,4,1,7,1920
OldTown,200000,11426,3,2,7,2003
BrkSide,127000,7438,3,1,5,1908
OldTown,475000,22950,4,2,10,1892
OldTown,135000,10410,3,2,5,1916
SawyerW,153337,7018,2,0,5,1979
StoneBr,286000,4923,0,1,8,2001
Crawfor,315000,10570,3,2,8,1932
CollgCr,192000,9017,3,2,7,1999
Edwards,130000,2522,3,2,7,2004
CollgCr,127000,7180,3,1,5,1972
NPkVill,148500,2280,3,2,6,1976
Somerst,311872,9416,3,2,7,2007
NAmes,235000,25419,4,2,8,1918
NridgHt,274900,9591,3,2,8,2004
Edwards,140000,8546,2,2,4,2003
Mitchel,171500,10125,3,2,6,1977
OldTown,112000,7000,2,2,6,1924
OldTown,110000,3500,2,1,5,1947
Gilbert,180500,11851,3,2,7,1990
Sawyer,143900,13673,3,1,5,1962
NAmes,145000,8250,3,1,6,1964
Edwards,186000,10420,3,2,6,2009
Somerst,252678,8640,3,2,7,2009
CollgCr,156000,13568,3,1,5,1995
NAmes,134450,10011,2,1,5,1957
CollgCr,210000,8450,3,2,7,2004
OldTown,107000,9906,3,1,4,1925
Blmngtn,167240,3010,2,2,7,2005
CollgCr,204900,8990,2,2,7,2006
NWAmes,179900,11475,3,2,6,1975
NAmes,97000,10500,2,1,4,1971
NridgHt,386250,13472,3,2,10,2003
BrDale,112000,1680,3,2,5,1971
NoRidge,290000,9950,4,2,7,1995
BrDale,106000,1869,2,1,6,1970
Sawyer,125000,8521,3,1,5,1967
Blmngtn,192500,3182,2,2,7,2005
NAmes,148000,8760,3,1,6,1959
NoRidge,403000,15138,4,2,8,1995
BrDale,94500,1680,2,1,6,1972
CollgCr,128200,10650,3,1,5,1976
BrDale,89500,1680,2,1,6,1971
CollgCr,185500,8773,3,2,7,2004
NridgHt,318000,12030,3,2,8,2007
Edwards,113000,8741,3,1,6,1945
Somerst,262500,9000,3,2,8,2008
OldTown,79000,5000,3,1,5,1900
SawyerW,120000,10762,3,1,6,1980
NWAmes,241500,10400,3,2,7,1988
OldTown,137000,9142,4,2,6,1910
NAmes,140000,11310,2,1,6,1954
CollgCr,180000,11317,3,2,7,2003
Crawfor,235000,4750,2,2,8,2006
SawyerW,173000,8366,3,2,6,2004
NAmes,158000,9350,3,2,6,1964
NAmes,145000,8400,3,1,5,1957
Gilbert,230000,8738,4,2,7,1999
Somerst,207500,8791,3,2,6,2003
CollgCr,220000,8814,3,2,7,2006
CollgCr,231500,12435,3,2,7,2001
NAmes,176000,19296,3,1,6,1962
CollgCr,276000,9588,3,2,8,2007
Sawyer,151000,8471,3,1,6,1977
OldTown,130000,5500,3,1,5,1929
OldTown,73000,5232,2,1,5,1925
NWAmes,175500,12090,3,2,6,1981
Gilbert,185000,11207,3,2,6,1997
SWISU,179500,8400,4,2,5,1939
IDOTRR,120500,6900,2,1,5,1940
Somerst,266000,10728,3,2,8,2006
ClearCr,241500,39104,2,1,7,1954
NoRidge,290000,11764,4,2,8,1999
NAmes,139000,9600,3,2,6,1958
Mitchel,124500,8314,2,1,5,1982
BrkSide,205000,7264,3,2,7,1925
Mitchel,201000,9196,3,2,7,2003
Gilbert,141000,19138,2,1,4,1951
NridgHt,415298,14450,3,2,9,2006
ClearCr,192000,10005,4,2,7,1977
SawyerW,228500,11287,3,2,7,1989
Somerst,185000,7200,2,2,6,2006
NridgHt,207500,5063,2,2,7,2007
Somerst,244600,9612,3,2,8,2008
SawyerW,179200,8012,2,2,6,1992
Somerst,164700,4251,2,2,7,2006
NAmes,159000,9786,3,1,6,1962
BrkSide,153575,8730,3,1,6,1915
CollgCr,233230,15611,3,2,8,2006
Edwards,131000,11409,3,1,5,1949
NAmes,167000,9600,3,1,6,1953
Mitchel,142500,7937,3,1,6,1984
IDOTRR,152000,13710,4,1,5,1950
Somerst,239000,7399,3,2,7,1997
NWAmes,175000,11700,3,1,6,1968
Crawfor,158500,14000,3,1,6,1950
Crawfor,157000,15750,2,1,5,1953
CollgCr,267000,16226,4,2,8,1998
CollgCr,205000,13704,3,2,7,2001
CollgCr,149900,9800,3,1,5,1972
OldTown,295000,18386,3,3,7,1880
CollgCr,305900,10386,3,2,8,2004
SawyerW,225000,13474,4,2,7,1990
NridgHt,360000,12378,3,2,9,2003
NAmes,132000,8000,2,1,6,1948
OldTown,119900,7800,3,1,5,1939
Timber,375000,215245,3,2,7,1965
OldTown,178000,9600,3,1,7,1925
Gilbert,188500,7795,3,2,7,2004
NWAmes,260000,13005,4,2,7,1980
Somerst,270000,9000,3,2,8,2006
NoRidge,260000,9900,4,2,7,1993
NridgHt,342643,16259,4,3,9,2006
NridgHt,354000,12099,4,2,8,2004
SawyerW,301000,10380,4,2,7,1986
OldTown,126175,5820,3,1,3,1955
NAmes,242000,11275,5,2,7,1967
IDOTRR,87000,5000,2,1,5,1941
Veenker,324000,10846,1,1,8,1993
NAmes,145250,11600,3,1,6,1960
IDOTRR,78000,6402,3,1,5,1920
NAmes,139000,8176,3,1,5,1958
NridgHt,207000,8198,2,2,7,2004
Gilbert,192000,9042,3,2,6,1998
StoneBr,377426,14157,3,2,9,2005
CollgCr,214000,9135,3,2,7,2002
NWAmes,202500,14145,3,2,7,1984
NAmes,155000,12400,3,1,6,1958
Timber,202900,14191,4,2,8,2002
SawyerW,82000,8400,2,1,4,1950
NridgHt,266000,8849,2,2,9,2005
MeadowV,85000,2592,3,1,5,1976
BrkSide,140200,6435,3,1,6,1939
NridgHt,154000,2448,2,2,7,2003
NridgHt,437154,20431,4,2,9,2005
NridgHt,318061,7820,2,2,9,2007
Edwards,95000,9084,3,1,5,1941
OldTown,105900,8520,2,1,6,1928
SWISU,140000,8400,2,1,6,1940
CollgCr,177500,11249,3,2,6,1995
MeadowV,134000,4224,3,1,5,1976
ClearCr,130000,6930,3,1,5,1958
NoRidge,280000,12011,3,2,8,1998
BrDale,118000,1680,2,1,6,1972
IDOTRR,147000,10690,3,1,5,1920
NAmes,165000,9150,3,1,6,1962
NAmes,132000,7800,2,1,5,1954
SawyerW,125000,7175,2,1,6,1984
NAmes,123000,10634,3,1,5,1953
CollgCr,219500,8200,4,2,7,2003
CollgCr,148000,8846,2,1,5,1996
Somerst,340000,11143,4,3,8,2004
StoneBr,394432,11394,1,1,9,2010
Gilbert,179000,8123,3,2,6,2000
SWISU,127000,5000,3,2,5,1924
Somerst,187750,7200,2,2,7,2006
CollgCr,213500,9245,3,2,7,2006
SawyerW,76000,9000,2,1,6,1928
Blmngtn,192000,3182,2,2,8,2004
Edwards,125000,7200,3,1,6,1976
CollgCr,191000,9382,3,2,7,1999
NridgHt,426000,12474,3,2,10,2007
Edwards,119000,8405,4,1,5,1900
Mitchel,215000,12209,3,2,6,2001
OldTown,109000,10134,2,1,5,1940
Edwards,129000,9571,3,1,5,1956
CollgCr,123000,7200,2,1,5,1972
NAmes,169500,7590,4,2,5,1962
IDOTRR,67000,8967,2,1,5,1920
Somerst,241000,8125,2,2,7,2006
Veenker,245500,14963,1,1,8,1996
CollgCr,164990,8767,3,2,7,2005
Sawyer,108000,10200,2,1,5,1940
NoRidge,258000,12090,4,2,8,1998
SWISU,115000,10480,3,1,6,1936
Crawfor,177000,15576,4,2,6,1915
NridgHt,280000,14154,3,2,7,2006
Somerst,339750,10800,3,2,8,2007
Edwards,60000,9571,3,1,5,1958
Gilbert,145000,34650,3,1,5,1955
OldTown,115000,8960,2,1,5,1927
SawyerW,228000,11228,3,2,7,1993
Gilbert,181134,8899,3,2,7,2007
Sawyer,149500,7844,3,1,6,1978
Crawfor,239000,22420,4,2,6,1918
Edwards,126000,8160,3,1,5,1940
NAmes,142000,8450,3,1,5,1968
Mitchel,206300,7060,2,2,7,1997
Mitchel,113000,21750,2,1,5,1954
NoRidge,315000,9200,4,2,8,1998
NAmes,139000,9000,2,1,6,1956
OldTown,135000,3378,3,1,7,1946
NAmes,109008,8593,3,1,4,1957
CollgCr,195400,6762,2,2,7,2007
Timber,175000,11457,3,2,6,1988
BrDale,85400,1680,2,1,6,1971
BrDale,122500,1920,2,1,5,1971
Gilbert,181000,10839,3,2,6,1997
CollgCr,212000,10667,3,2,7,1996
OldTown,116000,4400,2,1,6,1920
BrkSide,119000,6000,2,1,6,1926
Crawfor,90350,4280,2,1,5,1913
Edwards,110000,12354,3,1,6,1920
NridgHt,555000,15431,2,2,10,2008
BrkSide,162900,6240,3,2,5,1930
Blmngtn,172500,3922,2,2,7,2006
CollgCr,210000,8750,4,2,7,1994
Edwards,127500,9855,3,1,6,1956
NAmes,190000,16492,2,2,6,1966
IDOTRR,119500,8600,3,2,6,1937
OldTown,120000,6000,2,1,3,1948
OldTown,110000,5684,2,1,6,1930
ClearCr,280000,70761,2,2,7,1975
Somerst,210000,9000,3,2,8,2008
Mitchel,188000,9297,4,2,5,1976
NWAmes,175500,9600,3,1,7,1973
OldTown,98000,4571,4,1,5,1916
Somerst,263435,8004,3,2,8,2009
SWISU,155000,7200,3,1,7,1936
Sawyer,62383,8281,3,1,5,1965
Crawfor,188700,11988,3,1,6,1934
NAmes,167000,10628,2,1,7,1970
NAmes,146500,9480,3,1,5,1942
NridgHt,250000,11428,3,2,8,2006
SawyerW,187000,9291,3,2,6,1993
NWAmes,190000,11952,3,2,7,1977
Edwards,148000,3675,2,1,6,2005
NridgHt,440000,14977,2,2,8,2006
StoneBr,251000,5330,2,2,8,2000
Sawyer,132500,8480,2,1,5,1963
CollgCr,208900,13125,3,2,6,1997
NridgHt,380000,13693,3,2,9,2006
CollgCr,297000,10637,3,2,8,2007
OldTown,89471,5925,2,1,4,1937
NridgHt,326000,16033,3,2,9,2004
NridgHt,374000,11846,2,2,9,2003
OldTown,155000,2500,4,1,7,1915
Mitchel,164000,4500,2,2,6,1998
NAmes,147000,9600,3,1,5,1950
NAmes,156000,10289,3,1,5,1965
NWAmes,175000,12243,3,2,5,1971
OldTown,160000,10800,3,2,5,1900
MeadowV,86000,1526,1,1,4,1970
NAmes,133000,9490,3,1,6,1941
Gilbert,172785,15578,3,2,6,2006
NAmes,155000,7931,3,1,5,1960
OldTown,91300,5784,2,1,5,1938
BrkSide,184000,9120,4,2,7,1925
Sawyer,130000,7800,3,1,5,1967
NAmes,120000,7535,2,1,5,1958
BrDale,113000,1890,3,1,6,1973
Somerst,226700,9803,3,2,7,2005
Edwards,140000,9170,2,1,5,1965
Crawfor,289000,15602,1,2,7,1959
NPkVill,147000,2308,3,2,6,1974
OldTown,124500,7596,4,2,5,1952
SawyerW,215000,9554,3,2,8,1993
Somerst,208300,7862,2,2,6,2009
OldTown,161000,9600,3,2,7,1928
NAmes,124500,9600,3,1,5,1959
NAmes,164900,14559,2,1,5,1951
NridgHt,202665,6792,2,2,7,2005
NAmes,129900,9100,3,1,5,1958
Mitchel,134000,9187,3,1,6,1983
Crawfor,96500,10594,2,1,5,1926
NridgHt,402861,12220,3,2,10,2009
NoRidge,265000,10208,3,2,7,1996
Crawfor,234000,10918,3,1,7,1926
NAmes,150000,11988,3,1,6,1957
BrkSide,159000,5000,3,2,6,1947
Edwards,184750,40094,3,3,10,2007
NoRidge,315750,11787,3,2,7,1996
Somerst,176000,7500,3,2,7,2005
NAmes,132000,13300,2,1,5,1956
NridgHt,446261,14948,3,2,9,2008
Timber,175000,10200,3,2,6,1988
BrkSide,128000,6155,3,2,6,1920
Gilbert,178000,9056,3,2,8,2004
CollgCr,188000,8924,3,2,7,1998
Timber,315000,14601,2,2,9,2006
NWAmes,213250,10140,3,2,7,1998
NAmes,133000,4058,1,1,7,1998
Gilbert,179665,17104,3,2,7,2006
BrkSide,210000,8737,3,1,6,1923
Mitchel,129500,7244,2,1,5,1970
OldTown,125000,8235,2,1,5,1955
Somerst,263000,9375,4,2,7,2003
NPkVill,140000,4043,2,2,6,1977
OldTown,112500,6000,3,1,5,1957
NridgHt,255500,11146,3,2,8,2006
NridgHt,284000,10625,3,2,7,2003
BrkSide,113000,6380,2,1,5,1922
NAmes,141000,14850,2,1,5,1957
IDOTRR,108000,11040,3,1,4,1920
Gilbert,175000,21872,3,2,7,1996
Mitchel,170000,10010,2,1,5,1974
Edwards,185000,21780,4,2,6,1918
SWISU,128000,6858,4,1,6,1915
StoneBr,325000,11198,4,2,9,2005
NridgHt,214000,10171,3,2,7,2004
SawyerW,316600,12327,1,1,8,1983
NAmes,142600,13101,6,2,5,1965
NAmes,120000,7332,2,1,6,1959
Timber,224500,13159,3,2,7,2009
Gilbert,170000,9967,3,2,7,2000
NAmes,139000,10500,3,1,5,1971
NAmes,118500,8480,2,1,5,1947
SWISU,145000,6292,3,2,7,1928
Sawyer,164500,11777,3,1,5,1966
Somerst,146000,3604,2,2,7,2007
OldTown,131500,12150,4,2,5,1954
NridgHt,253293,12704,3,2,8,2008
OldTown,325000,13500,3,3,10,1893
BrkSide,133000,6120,3,1,4,1935
Timber,369900,11443,2,2,8,2005
BrkSide,130000,10267,2,1,6,1918
Sawyer,137000,8740,2,1,5,1982
ClearCr,143000,25095,1,1,5,1968
BrkSide,79500,9100,2,1,5,1930
CollgCr,185900,8320,3,2,7,2004
NridgHt,451950,13478,3,2,10,2008
Mitchel,138000,6600,2,1,5,1982
CollgCr,110000,7990,3,1,5,1975
StoneBr,319000,11302,3,2,8,2005
OldTown,114504,3600,3,1,6,1910
Blmngtn,194201,3922,2,0,7,2006
Crawfor,217500,12984,3,2,5,1977
Blueste,151000,1950,3,2,6,1980
NridgHt,275000,10927,3,2,8,2005
IDOTRR,141000,9000,3,1,6,1937
SawyerW,220000,10041,3,2,8,1992
Somerst,151000,3182,2,2,7,2004
CollgCr,221000,12803,3,2,7,2002
NAmes,205000,13600,3,2,7,1965
CollgCr,152000,12464,3,1,5,1996
Edwards,225000,7800,3,3,5,1948
Crawfor,359100,12168,4,2,8,1934
Sawyer,118500,7943,3,1,4,1961
NAmes,137500,8800,3,1,6,1963
NAmes,105500,7227,2,1,6,1954
NridgHt,314813,11694,3,2,9,2007
Timber,305000,12244,4,2,8,2003
NWAmes,240000,10800,4,2,6,1974
Sawyer,135000,7064,3,1,5,1977
NWAmes,165150,10400,4,1,6,1972
NAmes,160000,10000,3,1,6,1962
NAmes,153000,9600,3,1,6,1955
NAmes,135000,11606,5,1,5,1969
NAmes,168500,9020,3,1,6,1964
OldTown,124000,9000,3,1,5,1880
NridgHt,209500,4590,2,2,8,2006
NWAmes,82500,11900,3,2,7,1977
NAmes,139400,9250,3,1,5,1954
OldTown,144000,6979,0,0,6,1980
OldTown,93000,6000,3,2,5,1954
Blmngtn,264561,3982,1,2,8,2006
NridgHt,274000,12677,1,1,8,2003
NAmes,345000,13860,4,2,8,1972
NWAmes,152000,10793,4,2,5,1969
Somerst,370878,9187,2,2,9,2009
Edwards,155000,10452,3,1,6,1953
NAmes,155000,7700,4,1,6,1966
Edwards,108000,9084,4,1,4,1940
CollgCr,191000,8750,2,2,7,1996
IDOTRR,135000,10320,3,1,6,1906
NoRidge,350000,10437,2,2,8,1995
BrDale,88000,1680,3,1,6,1971
NAmes,145500,10007,3,1,5,1959
Crawfor,149000,7200,3,1,7,1931
NAmes,97500,17503,3,1,6,1948
Edwards,167000,9937,3,1,5,1964
NoRidge,402000,46589,4,2,8,1994
NAmes,110000,13560,2,1,6,1968
Edwards,137500,10012,3,2,4,1972
Somerst,423000,20896,1,1,8,2005
Gilbert,230500,11194,3,2,8,2000
SawyerW,193500,8125,3,2,6,1994
Crawfor,137500,11600,2,1,4,1922
CollgCr,173500,8633,3,2,6,2005
Edwards,103600,6629,3,2,6,1925
Crawfor,257500,14442,3,2,6,1957
NAmes,140000,9200,3,1,6,1965
NPkVill,148500,2289,3,2,6,1978
OldTown,87000,9600,4,2,4,1900
OldTown,109500,9022,2,1,5,1924
StoneBr,372500,11844,3,2,8,2008
SawyerW,143000,8012,2,2,6,1980
SWISU,159434,4500,3,1,5,1932
CollgCr,285000,11248,3,2,9,2002
NoRidge,221000,16770,4,2,7,1998
Somerst,227875,10207,3,3,7,2007
StoneBr,392000,8089,2,2,8,2007
NridgHt,194700,7577,2,2,6,2005
NoRidge,755000,21535,4,3,10,1994
Timber,335000,26178,4,2,7,1989
OldTown,108480,5400,2,1,5,1921
BrkSide,141500,6120,3,1,5,1936
Timber,176000,13811,2,2,6,1987
BrkSide,89000,6000,2,1,5,1921
Edwards,123500,6420,2,1,5,1952
Sawyer,138500,8450,3,1,5,1965
Somerst,196000,4282,2,2,7,2004
Timber,312500,14331,3,2,8,2002
NWAmes,140000,9600,3,1,7,1969
StoneBr,361919,12438,4,2,8,2006
OldTown,140000,7630,4,2,5,1900
CollgCr,213000,8400,3,2,7,2004
NridgHt,254000,6240,2,2,8,2006
Gilbert,179540,9018,3,2,7,2007
IDOTRR,102776,8712,2,1,4,1900
StoneBr,189000,4671,2,2,8,1988
BrkSide,129000,9873,3,1,4,1970
NWAmes,165000,10140,3,2,6,1974
OldTown,159500,10800,3,1,7,1890
NWAmes,157000,10000,3,1,5,1973
NoRidge,341000,10542,3,2,7,1993
CollgCr,128500,9920,3,1,5,1969
NAmes,124500,8120,3,1,4,1970
Edwards,135000,8172,4,2,4,1954
Edwards,320000,13286,3,2,9,2007
NAmes,120500,6960,3,1,4,1970
CollgCr,194500,7314,2,2,7,2007
NAmes,110000,11475,4,2,5,1958
IDOTRR,103000,6240,2,1,4,1925
StoneBr,236500,5389,2,2,8,1995
Timber,187500,9590,3,2,7,2003
CollgCr,222500,11404,3,2,7,1998
Sawyer,131400,10000,3,1,5,1961
OldTown,163000,10800,2,1,7,1914
Gilbert,239900,10463,3,2,8,2005
CollgCr,190000,9313,3,2,7,2004
OldTown,132000,9600,2,2,5,1910
Sawyer,142000,6768,3,1,6,1961
SawyerW,179000,8450,3,2,7,2000
Sawyer,175000,12886,3,2,5,1963
StoneBr,180000,5395,2,2,8,1993
OldTown,265979,11700,4,1,7,1880
NoRidge,260400,10593,3,2,7,1996
CollgCr,217000,9236,3,2,6,1997
NridgHt,275500,10240,3,2,8,2005
NAmes,156000,7930,3,1,6,1969
Somerst,172500,3230,3,2,6,1999
CollgCr,212000,10769,3,2,8,2007
Somerst,179400,2280,3,2,7,1999
NoRidge,290000,12257,4,2,8,1995
NAmes,127500,9100,2,1,6,1959
BrkSide,100000,6911,2,1,5,1924
Somerst,215200,8640,3,2,7,2009
NoRidge,337000,9430,3,2,8,1999
Veenker,270000,9549,2,1,8,1995
Somerst,264132,14587,2,2,9,2008
NWAmes,196500,10421,3,2,7,1988
Mitchel,160000,12508,4,2,6,1940
CollgCr,216837,9100,3,2,7,2004
StoneBr,538000,53504,4,3,8,2003
Edwards,102000,8877,2,1,4,1951
Edwards,107000,7819,3,1,6,1976
NAmes,114500,10150,2,1,5,1958
NridgHt,395000,14226,3,2,8,2006
Mitchel,162000,4500,2,2,6,1998
CollgCr,221500,11210,3,2,7,2005
Sawyer,142500,13350,3,1,5,1974
Mitchel,135000,10530,2,1,6,1977
Gilbert,176000,7875,3,2,7,1995
SawyerW,175900,7153,3,2,6,1992
CollgCr,187100,16285,3,2,7,2001
OldTown,139000,10800,4,2,5,1915
SawyerW,233000,10142,4,2,7,2004
OldTown,107900,6000,2,1,4,1954
Blmngtn,160200,3182,2,2,7,2005
NoRidge,269790,9920,3,2,7,1996
Somerst,225000,9158,3,2,8,2007
SawyerW,171000,8400,3,2,6,1980
Sawyer,143500,8197,3,1,6,1977
NAmes,110000,7677,2,1,5,1953
NridgHt,485000,13518,4,3,9,2008
SWISU,175000,7200,3,1,5,1937
ClearCr,200000,12798,4,2,6,1997
IDOTRR,109900,4800,2,1,4,1916
CollgCr,189000,8199,3,2,7,2005
NridgHt,582933,13891,4,3,9,2008
NAmes,118000,9000,2,1,5,1954
Somerst,227680,12274,3,2,7,2008
NAmes,135500,9750,3,2,5,1967
BrkSide,223500,21384,3,1,5,1923
NAmes,159950,13400,3,1,5,1966
OldTown,106000,8100,2,2,5,1898
NWAmes,181000,10140,3,1,6,1974
IDOTRR,55993,8712,2,1,5,1952
NAmes,157900,9750,4,1,6,1958
Edwards,116000,8248,3,1,5,1918
CollgCr,224900,12137,3,2,7,1998
ClearCr,155000,8816,3,1,6,1971
NridgHt,224000,6371,2,2,7,2009
CollgCr,183000,7226,3,2,7,2003
OldTown,93000,6000,2,1,4,1953
SWISU,139500,9900,3,2,6,1940
Somerst,232600,11216,3,2,8,2006
NridgHt,385000,14803,2,2,10,2007
SawyerW,189000,8529,3,2,7,2001
Somerst,147400,2544,2,2,7,2005
NAmes,166000,11900,3,1,6,1957
Somerst,151000,3180,2,2,7,2005
CollgCr,237000,9548,3,2,7,2003
NAmes,167000,10004,3,1,6,1964
NAmes,139950,7875,3,1,5,1961
Sawyer,128000,9600,2,2,4,1950
OldTown,153500,8100,2,1,5,1948
BrDale,100000,1680,2,1,6,1973
CollgCr,144000,9525,3,1,5,1995
Edwards,130500,11767,3,1,5,1946
OldTown,157500,10440,3,2,5,1904
NAmes,174900,9020,3,1,6,1966
OldTown,153900,12665,4,1,5,1915
SawyerW,213000,9317,3,2,7,1993
CollgCr,133500,15523,3,1,5,1972
ClearCr,240000,45600,5,3,6,1908
Veenker,187000,9600,3,2,6,1976
CollgCr,131500,4435,1,1,6,2003
Crawfor,164000,7128,4,2,7,1941
Sawyer,170000,17920,3,1,5,1955
Gilbert,174000,8125,3,2,6,1994
NWAmes,152000,10400,3,2,7,1976
Crawfor,189950,7642,3,1,7,1918
Sawyer,131500,11625,3,1,5,1965
SawyerW,152000,9672,3,2,6,1984
NAmes,132500,7931,3,1,5,1959
Somerst,250580,8640,3,2,7,2007
Timber,248900,10656,3,2,8,2006
Sawyer,129000,6970,3,1,4,1961
SawyerW,236000,9938,3,2,7,1993
NAmes,109500,6600,2,1,5,1962
CollgCr,200500,8750,3,2,6,1998
NAmes,116000,8892,3,1,5,1953
NAmes,133000,12144,3,1,5,1949
OldTown,66500,5720,3,1,5,1941
Somerst,303477,9000,4,2,8,2007
Mitchel,132250,25286,3,1,4,1963
NridgHt,350000,8834,4,2,9,2004
Sawyer,148000,11782,3,1,5,1961
Edwards,157000,7024,2,1,5,2005
Timber,187500,13758,3,2,7,1990
SWISU,118500,6204,5,1,4,1912
NAmes,100000,7150,3,1,5,1967
Somerst,328900,5119,2,2,9,1999
NAmes,145000,8393,4,2,5,1959
