SalePrice,LotArea,BedroomAbvGr,FullBath,HalfBath,Neighborhood,HouseStyle,OverallQual,YearBuilt
204900,8990,2,2,0,CollgCr,1Story,7,2006
179900,11475,3,2,1,NWAmes,2Story,6,1975
97000,10500,2,1,0,NAmes,1Story,4,1971
386250,13472,3,2,0,NridgHt,1Story,10,2003
112000,1680,3,2,1,BrDale,2Story,5,1971
290000,9950,4,2,1,NoRidge,2Story,7,1995
106000,1869,2,1,1,BrDale,2Story,6,1970
125000,8521,3,1,0,Sawyer,1Story,5,1967
192500,3182,2,2,0,Blmngtn,1Story,7,2005
148000,8760,3,1,0,NAmes,1Story,6,1959
403000,15138,4,2,1,NoRidge,2Story,8,1995
94500,1680,2,1,1,BrDale,2Story,6,1972
128200,10650,3,1,0,CollgCr,1Story,5,1976
89500,1680,2,1,1,BrDale,2Story,6,1971
185500,8773,3,2,0,CollgCr,1Story,7,2004
318000,12030,3,2,0,NridgHt,1Story,8,2007
113000,8741,3,1,1,Edwards,1.5Fin,6,1945
262500,9000,3,2,0,Somerst,1Story,8,2008
79000,5000,3,1,0,OldTown,1.5Fin,5,1900
120000,10762,3,1,1,SawyerW,2Story,6,1980
241500,10400,3,2,0,NWAmes,1Story,7,1988
137000,9142,4,2,0,OldTown,2Story,6,1910
140000,11310,2,1,0,NAmes,1Story,6,1954
180000,11317,3,2,1,CollgCr,2Story,7,2003
235000,4750,2,2,0,Crawfor,1Story,8,2006
173000,8366,3,2,1,SawyerW,2Story,6,2004
158000,9350,3,2,0,NAmes,SLvl,6,1964
145000,8400,3,1,0,NAmes,1Story,5,1957
230000,8738,4,2,1,Gilbert,2Story,7,1999
207500,8791,3,2,1,Somerst,2Story,6,2003
220000,8814,3,2,1,CollgCr,1Story,7,2006
231500,12435,3,2,1,CollgCr,2Story,7,2001
176000,19296,3,1,0,NAmes,SLvl,6,1962
276000,9588,3,2,1,CollgCr,2Story,8,2007
151000,8471,3,1,0,Sawyer,SLvl,6,1977
130000,5500,3,1,0,OldTown,1.5Fin,5,1929
73000,5232,2,1,0,OldTown,1Story,5,1925
175500,12090,3,2,0,NWAmes,1Story,6,1981
185000,11207,3,2,1,Gilbert,2Story,6,1997
179500,8400,4,2,1,SWISU,2.5Fin,5,1939
120500,6900,2,1,0,IDOTRR,1Story,5,1940
266000,10728,3,2,1,Somerst,2Story,8,2006
241500,39104,2,1,0,ClearCr,1Story,7,1954
290000,11764,4,2,1,NoRidge,2Story,8,1999
139000,9600,3,2,0,NAmes,1Story,6,1958
124500,8314,2,1,0,Mitchel,1Story,5,1982
205000,7264,3,2,1,BrkSide,1.5Fin,7,1925
201000,9196,3,2,0,Mitchel,1Story,7,2003
141000,19138,2,1,0,Gilbert,1Story,4,1951
415298,14450,3,2,1,NridgHt,1Story,9,2006
192000,10005,4,2,1,ClearCr,2Story,7,1977
228500,11287,3,2,1,SawyerW,2Story,7,1989
185000,7200,2,2,0,Somerst,1Story,6,2006
207500,5063,2,2,0,NridgHt,1Story,7,2007
244600,9612,3,2,0,Somerst,1Story,8,2008
179200,8012,2,2,0,SawyerW,1Story,6,1992
164700,4251,2,2,1,Somerst,2Story,7,2006
159000,9786,3,1,1,NAmes,1.5Fin,6,1962
153575,8730,3,1,0,BrkSide,2Story,6,1915
233230,15611,3,2,1,CollgCr,2Story,8,2006
131000,11409,3,1,1,Edwards,1.5Fin,5,1949
167000,9600,3,1,0,NAmes,1Story,6,1953
142500,7937,3,1,0,Mitchel,SLvl,6,1984
152000,13710,4,1,1,IDOTRR,1.5Fin,5,1950
239000,7399,3,2,1,Somerst,2Story,7,1997
175000,11700,3,1,2,NWAmes,2Story,6,1968
158500,14000,3,1,0,Crawfor,1Story,6,1950
157000,15750,2,1,0,Crawfor,1Story,5,1953
267000,16226,4,2,1,CollgCr,2Story,8,1998
205000,13704,3,2,0,CollgCr,1Story,7,2001
149900,9800,3,1,0,CollgCr,1Story,5,1972
295000,18386,3,3,0,OldTown,2.5Fin,7,1880
305900,10386,3,2,0,CollgCr,1Story,8,2004
225000,13474,4,2,1,SawyerW,2Story,7,1990
360000,12378,3,2,0,NridgHt,1Story,9,2003
132000,8000,2,1,0,NAmes,1Story,6,1948
119900,7800,3,1,0,OldTown,1.5Fin,5,1939
375000,215245,3,2,0,Timber,1Story,7,1965
178000,9600,3,1,1,OldTown,2Story,7,1925
188500,7795,3,2,1,Gilbert,2Story,7,2004
260000,13005,4,2,1,NWAmes,2Story,7,1980
270000,9000,3,2,1,Somerst,2Story,8,2006
260000,9900,4,2,1,NoRidge,2Story,7,1993
342643,16259,4,3,1,NridgHt,2Story,9,2006
354000,12099,4,2,1,NridgHt,2Story,8,2004
301000,10380,4,2,1,SawyerW,2Story,7,1986
126175,5820,3,1,0,OldTown,1Story,3,1955
242000,11275,5,2,1,NAmes,SLvl,7,1967
87000,5000,2,1,0,IDOTRR,1.5Unf,5,1941
324000,10846,1,1,1,Veenker,1Story,8,1993
145250,11600,3,1,1,NAmes,1Story,6,1960
78000,6402,3,1,0,IDOTRR,2Story,5,1920
139000,8176,3,1,0,NAmes,1Story,5,1958
207000,8198,2,2,0,NridgHt,1Story,7,2004
192000,9042,3,2,1,Gilbert,2Story,6,1998
377426,14157,3,2,0,StoneBr,1Story,9,2005
214000,9135,3,2,0,CollgCr,1Story,7,2002
202500,14145,3,2,0,NWAmes,1Story,7,1984
155000,12400,3,1,0,NAmes,1Story,6,1958
202900,14191,4,2,1,Timber,2Story,8,2002
82000,8400,2,1,0,SawyerW,1Story,4,1950
266000,8849,2,2,0,NridgHt,1Story,9,2005
85000,2592,3,1,1,MeadowV,2Story,5,1976
140200,6435,3,1,0,BrkSide,1.5Fin,6,1939
154000,2448,2,2,1,NridgHt,2Story,7,2003
437154,20431,4,2,1,NridgHt,2Story,9,2005
318061,7820,2,2,0,NridgHt,1Story,9,2007
95000,9084,3,1,0,Edwards,1.5Fin,5,1941
105900,8520,2,1,0,OldTown,1Story,6,1928
140000,8400,2,1,0,SWISU,1.5Fin,6,1940
177500,11249,3,2,0,CollgCr,1Story,6,1995
134000,4224,3,1,1,MeadowV,1Story,5,1976
130000,6930,3,1,0,ClearCr,SLvl,5,1958
280000,12011,3,2,1,NoRidge,2Story,8,1998
118000,1680,2,1,1,BrDale,2Story,6,1972
147000,10690,3,1,0,IDOTRR,2Story,5,1920
165000,9150,3,1,0,NAmes,SLvl,6,1962
132000,7800,2,1,0,NAmes,1Story,5,1954
125000,7175,2,1,0,SawyerW,1Story,6,1984
123000,10634,3,1,0,NAmes,1Story,5,1953
219500,8200,4,2,1,CollgCr,2Story,7,2003
148000,8846,2,1,0,CollgCr,SFoyer,5,1996
340000,11143,4,3,0,Somerst,2Story,8,2004
394432,11394,1,1,1,StoneBr,1Story,9,2010
179000,8123,3,2,1,Gilbert,2Story,6,2000
127000,5000,3,2,0,SWISU,1.5Fin,5,1924
187750,7200,2,2,0,Somerst,1Story,7,2006
213500,9245,3,2,1,CollgCr,2Story,7,2006
76000,9000,2,1,0,SawyerW,1.5Unf,6,1928
192000,3182,2,2,0,Blmngtn,1Story,8,2004
125000,7200,3,1,0,Edwards,SLvl,6,1976
191000,9382,3,2,0,CollgCr,1Story,7,1999
426000,12474,3,2,1,NridgHt,2Story,10,2007
119000,8405,4,1,0,Edwards,1.5Fin,5,1900
215000,12209,3,2,1,Mitchel,2Story,6,2001
109000,10134,2,1,0,OldTown,1.5Fin,5,1940
129000,9571,3,1,0,Edwards,1Story,5,1956
123000,7200,2,1,0,CollgCr,1Story,5,1972
169500,7590,4,2,0,NAmes,2Story,5,1962
67000,8967,2,1,0,IDOTRR,1Story,5,1920
241000,8125,2,2,0,Somerst,2Story,7,2006
245500,14963,1,1,1,Veenker,1Story,8,1996
164990,8767,3,2,0,CollgCr,1Story,7,2005
108000,10200,2,1,0,Sawyer,1Story,5,1940
258000,12090,4,2,1,NoRidge,2Story,8,1998
115000,10480,3,1,0,SWISU,1.5Fin,6,1936
177000,15576,4,2,0,Crawfor,2Story,6,1915
280000,14154,3,2,1,NridgHt,2Story,7,2006
339750,10800,3,2,1,Somerst,2Story,8,2007
60000,9571,3,1,0,Edwards,1Story,5,1958
145000,34650,3,1,0,Gilbert,1Story,5,1955
115000,8960,2,1,0,OldTown,1Story,5,1927
228000,11228,3,2,1,SawyerW,2Story,7,1993
181134,8899,3,2,0,Gilbert,1Story,7,2007
149500,7844,3,1,1,Sawyer,2Story,6,1978
239000,22420,4,2,1,Crawfor,2Story,6,1918
126000,8160,3,1,1,Edwards,1.5Fin,5,1940
142000,8450,3,1,0,NAmes,1Story,5,1968
206300,7060,2,2,0,Mitchel,SFoyer,7,1997
113000,21750,2,1,0,Mitchel,1Story,5,1954
315000,9200,4,2,1,NoRidge,2Story,8,1998
139000,9000,2,1,0,NAmes,1Story,6,1956
135000,3378,3,1,1,OldTown,2Story,7,1946
109008,8593,3,1,0,NAmes,1Story,4,1957
195400,6762,2,2,0,CollgCr,1Story,7,2007
175000,11457,3,2,0,Timber,1Story,6,1988
85400,1680,2,1,1,BrDale,2Story,6,1971
122500,1920,2,1,1,BrDale,2Story,5,1971
181000,10839,3,2,1,Gilbert,2Story,6,1997
212000,10667,3,2,1,CollgCr,2Story,7,1996
116000,4400,2,1,0,OldTown,1.5Fin,6,1920
119000,6000,2,1,0,BrkSide,1.5Unf,6,1926
90350,4280,2,1,0,Crawfor,1Story,5,1913
110000,12354,3,1,0,Edwards,1.5Fin,6,1920
555000,15431,2,2,0,NridgHt,1Story,10,2008
162900,6240,3,2,0,BrkSide,1.5Fin,5,1930
172500,3922,2,2,0,Blmngtn,1Story,7,2006
210000,8750,4,2,1,CollgCr,2Story,7,1994
127500,9855,3,1,0,Edwards,1Story,6,1956
190000,16492,2,2,1,NAmes,1Story,6,1966
119500,8600,3,2,0,IDOTRR,1.5Fin,6,1937
120000,6000,2,1,1,OldTown,1.5Fin,3,1948
110000,5684,2,1,0,OldTown,1Story,6,1930
280000,70761,2,2,0,ClearCr,1Story,7,1975
210000,9000,3,2,1,Somerst,2Story,8,2008
188000,9297,4,2,0,Mitchel,1Story,5,1976
175500,9600,3,1,1,NWAmes,1Story,7,1973
98000,4571,4,1,0,OldTown,2Story,5,1916
263435,8004,3,2,1,Somerst,2Story,8,2009
155000,7200,3,1,0,SWISU,2Story,7,1936
62383,8281,3,1,0,Sawyer,1Story,5,1965
188700,11988,3,1,1,Crawfor,2Story,6,1934
167000,10628,2,1,0,NAmes,1Story,7,1970
146500,9480,3,1,1,NAmes,2Story,5,1942
250000,11428,3,2,0,NridgHt,1Story,8,2006
187000,9291,3,2,1,SawyerW,2Story,6,1993
190000,11952,3,2,1,NWAmes,2Story,7,1977
148000,3675,2,1,0,Edwards,SLvl,6,2005
440000,14977,2,2,0,NridgHt,1Story,8,2006
251000,5330,2,2,0,StoneBr,1Story,8,2000
132500,8480,2,1,0,Sawyer,1Story,5,1963
208900,13125,3,2,0,CollgCr,1Story,6,1997
380000,13693,3,2,1,NridgHt,2Story,9,2006
297000,10637,3,2,0,CollgCr,1Story,8,2007
89471,5925,2,1,0,OldTown,1Story,4,1937
326000,16033,3,2,0,NridgHt,1Story,9,2004
374000,11846,2,2,0,NridgHt,1Story,9,2003
155000,2500,4,1,1,OldTown,2Story,7,1915
164000,4500,2,2,0,Mitchel,1Story,6,1998
147000,9600,3,1,0,NAmes,1Story,5,1950
156000,10289,3,1,1,NAmes,1Story,5,1965
175000,12243,3,2,0,NWAmes,1Story,5,1971
160000,10800,3,2,0,OldTown,1.5Fin,5,1900
86000,1526,1,1,0,MeadowV,SFoyer,4,1970
133000,9490,3,1,0,NAmes,1.5Fin,6,1941
172785,15578,3,2,1,Gilbert,2Story,6,2006
155000,7931,3,1,1,NAmes,1Story,5,1960
91300,5784,2,1,0,OldTown,1Story,5,1938
184000,9120,4,2,0,BrkSide,1.5Fin,7,1925
130000,7800,3,1,0,Sawyer,1Story,5,1967
120000,7535,2,1,0,NAmes,1Story,5,1958
113000,1890,3,1,1,BrDale,2Story,6,1973
226700,9803,3,2,1,Somerst,2Story,7,2005
140000,9170,2,1,0,Edwards,1Story,5,1965
289000,15602,1,2,0,Crawfor,1Story,7,1959
147000,2308,3,2,1,NPkVill,2Story,6,1974
124500,7596,4,2,0,OldTown,2Story,5,1952
215000,9554,3,2,1,SawyerW,2Story,8,1993
208300,7862,2,2,0,Somerst,1Story,6,2009
161000,9600,3,2,0,OldTown,2Story,7,1928
124500,9600,3,1,0,NAmes,1Story,5,1959
164900,14559,2,1,0,NAmes,1Story,5,1951
202665,6792,2,2,0,NridgHt,1Story,7,2005
129900,9100,3,1,0,NAmes,1Story,5,1958
134000,9187,3,1,1,Mitchel,1Story,6,1983
96500,10594,2,1,0,Crawfor,1.5Unf,5,1926
402861,12220,3,2,1,NridgHt,1Story,10,2009
265000,10208,3,2,1,NoRidge,2Story,7,1996
234000,10918,3,1,1,Crawfor,2Story,7,1926
150000,11988,3,1,1,NAmes,1Story,6,1957
159000,5000,3,2,0,BrkSide,1.5Fin,6,1947
184750,40094,3,3,1,Edwards,2Story,10,2007
315750,11787,3,2,1,NoRidge,2Story,7,1996
176000,7500,3,2,0,Somerst,1Story,7,2005
132000,13300,2,1,0,NAmes,1Story,5,1956
446261,14948,3,2,1,NridgHt,2Story,9,2008
175000,10200,3,2,0,Timber,SLvl,6,1988
128000,6155,3,2,0,BrkSide,2Story,6,1920
178000,9056,3,2,1,Gilbert,2Story,8,2004
188000,8924,3,2,1,CollgCr,2Story,7,1998
315000,14601,2,2,0,Timber,1Story,9,2006
213250,10140,3,2,0,NWAmes,1Story,7,1998
133000,4058,1,1,0,NAmes,SFoyer,7,1998
179665,17104,3,2,1,Gilbert,2Story,7,2006
210000,8737,3,1,1,BrkSide,1.5Fin,6,1923
129500,7244,2,1,0,Mitchel,SFoyer,5,1970
125000,8235,2,1,0,OldTown,1Story,5,1955
263000,9375,4,2,1,Somerst,2Story,7,2003
140000,4043,2,2,0,NPkVill,1Story,6,1977
112500,6000,3,1,0,OldTown,1Story,5,1957
255500,11146,3,2,0,NridgHt,1Story,8,2006
284000,10625,3,2,1,NridgHt,2Story,7,2003
113000,6380,2,1,0,BrkSide,1.5Unf,5,1922
141000,14850,2,1,0,NAmes,1Story,5,1957
108000,11040,3,1,1,IDOTRR,1.5Fin,4,1920
175000,21872,3,2,1,Gilbert,2Story,7,1996
170000,10010,2,1,0,Mitchel,1Story,5,1974
185000,21780,4,2,0,Edwards,1.5Fin,6,1918
128000,6858,4,1,1,SWISU,2Story,6,1915
325000,11198,4,2,1,StoneBr,2Story,9,2005
214000,10171,3,2,0,NridgHt,1Story,7,2004
316600,12327,1,1,1,SawyerW,1.5Fin,8,1983
142600,13101,6,2,0,NAmes,1Story,5,1965
120000,7332,2,1,0,NAmes,1Story,6,1959
224500,13159,3,2,1,Timber,2Story,7,2009
170000,9967,3,2,1,Gilbert,SLvl,7,2000
139000,10500,3,1,0,NAmes,SLvl,5,1971
118500,8480,2,1,0,NAmes,1.5Fin,5,1947
145000,6292,3,2,0,SWISU,1.5Fin,7,1928
164500,11777,3,1,0,Sawyer,SLvl,5,1966
146000,3604,2,2,0,Somerst,2Story,7,2007
131500,12150,4,2,0,OldTown,1.5Fin,5,1954
253293,12704,3,2,1,NridgHt,1Story,8,2008
325000,13500,3,3,1,OldTown,2.5Unf,10,1893
133000,6120,3,1,0,BrkSide,1.5Fin,4,1935
369900,11443,2,2,0,Timber,1Story,8,2005
130000,10267,2,1,0,BrkSide,1Story,6,1918
137000,8740,2,1,0,Sawyer,SFoyer,5,1982
143000,25095,1,1,0,ClearCr,1Story,5,1968
79500,9100,2,1,0,BrkSide,1Story,5,1930
185900,8320,3,2,1,CollgCr,2Story,7,2004
451950,13478,3,2,1,NridgHt,2Story,10,2008
138000,6600,2,1,0,Mitchel,1Story,5,1982
110000,7990,3,1,0,CollgCr,1Story,5,1975
319000,11302,3,2,0,StoneBr,1Story,8,2005
114504,3600,3,1,0,OldTown,2Story,6,1910
194201,3922,2,0,2,Blmngtn,1Story,7,2006
217500,12984,3,2,0,Crawfor,1Story,5,1977
151000,1950,3,2,1,Blueste,2Story,6,1980
275000,10927,3,2,1,NridgHt,2Story,8,2005
141000,9000,3,1,1,IDOTRR,1.5Fin,6,1937
220000,10041,3,2,1,SawyerW,2Story,8,1992
151000,3182,2,2,1,Somerst,2Story,7,2004
221000,12803,3,2,0,CollgCr,1Story,7,2002
205000,13600,3,2,1,NAmes,2Story,7,1965
152000,12464,3,1,0,CollgCr,1Story,5,1996
225000,7800,3,3,0,Edwards,2Story,5,1948
359100,12168,4,2,1,Crawfor,2Story,8,1934
118500,7943,3,1,0,Sawyer,1Story,4,1961
137500,8800,3,1,0,NAmes,SFoyer,6,1963
105500,7227,2,1,0,NAmes,1.5Unf,6,1954
314813,11694,3,2,0,NridgHt,1Story,9,2007
305000,12244,4,2,1,Timber,2Story,8,2003
240000,10800,4,2,1,NWAmes,2Story,6,1974
135000,7064,3,1,0,Sawyer,1Story,5,1977
165150,10400,4,1,2,NWAmes,2Story,6,1972
160000,10000,3,1,1,NAmes,1Story,6,1962
153000,9600,3,1,0,NAmes,SLvl,6,1955
135000,11606,5,1,2,NAmes,2Story,5,1969
168500,9020,3,1,1,NAmes,SLvl,6,1964
124000,9000,3,1,0,OldTown,2Story,5,1880
209500,4590,2,2,0,NridgHt,1Story,8,2006
82500,11900,3,2,0,NWAmes,1Story,7,1977
139400,9250,3,1,0,NAmes,1Story,5,1954
144000,6979,0,0,0,OldTown,SFoyer,6,1980
93000,6000,3,2,0,OldTown,1.5Fin,5,1954
264561,3982,1,2,0,Blmngtn,1Story,8,2006
274000,12677,1,1,1,NridgHt,1Story,8,2003
345000,13860,4,2,1,NAmes,SLvl,8,1972
152000,10793,4,2,1,NWAmes,2Story,5,1969
370878,9187,2,2,1,Somerst,1Story,9,2009
155000,10452,3,1,0,Edwards,1Story,6,1953
155000,7700,4,1,1,NAmes,2Story,6,1966
108000,9084,4,1,0,Edwards,2Story,4,1940
191000,8750,2,2,1,CollgCr,2Story,7,1996
135000,10320,3,1,0,IDOTRR,1.5Fin,6,1906
350000,10437,2,2,1,NoRidge,1Story,8,1995
88000,1680,3,1,1,BrDale,2Story,6,1971
145500,10007,3,1,1,NAmes,1Story,5,1959
149000,7200,3,1,1,Crawfor,2Story,7,1931
97500,17503,3,1,0,NAmes,1.5Fin,6,1948
167000,9937,3,1,0,Edwards,1Story,5,1964
402000,46589,4,2,1,NoRidge,2Story,8,1994
110000,13560,2,1,0,NAmes,1Story,6,1968
137500,10012,3,2,0,Edwards,SFoyer,4,1972
423000,20896,1,1,1,Somerst,1Story,8,2005
230500,11194,3,2,1,Gilbert,2Story,8,2000
193500,8125,3,2,0,SawyerW,1Story,6,1994
137500,11600,2,1,0,Crawfor,1Story,4,1922
173500,8633,3,2,1,CollgCr,2Story,6,2005
103600,6629,3,2,0,Edwards,2Story,6,1925
257500,14442,3,2,0,Crawfor,1Story,6,1957
140000,9200,3,1,0,NAmes,1Story,6,1965
148500,2289,3,2,1,NPkVill,2Story,6,1978
87000,9600,4,2,0,OldTown,2Story,4,1900
